id,Length,Height,Whole weight,Sex_I,Sex_M,DimensionsCluster,Rings
1968,0.62,0.155,1.1345,0,1,0,9
1969,0.63,0.16,1.1255,0,0,0,11
1970,0.665,0.155,1.2895,0,1,2,10
1971,0.425,0.1,0.2805,1,0,1,8
1972,0.72,0.215,1.9885,0,0,2,12
1973,0.635,0.145,1.07,0,1,0,10
1974,0.295,0.07,0.129,1,0,1,6
1975,0.59,0.2,1.0735,1,0,0,10
1976,0.6,0.19,1.1345,0,0,0,17
1977,0.49,0.11,0.5175,1,0,1,8
1978,0.63,0.165,1.3165,0,0,2,9
1979,0.585,0.14,0.922,0,1,0,12
1980,0.385,0.1,0.3485,1,0,1,8
1981,0.175,0.05,0.0345,1,0,1,5
1982,0.67,0.175,1.4025,0,0,2,13
1983,0.71,0.19,1.966,0,1,2,11
1984,0.55,0.14,0.9335,0,1,0,13
1985,0.545,0.145,0.7105,0,0,0,9
1986,0.56,0.15,0.974,0,1,0,15
1987,0.685,0.2,1.5365,0,0,2,10
1988,0.665,0.2,1.6195,0,0,2,10
1989,0.51,0.13,0.6025,0,0,0,10
1990,0.315,0.08,0.141,1,0,1,7
1991,0.725,0.18,1.6115,0,0,2,14
1992,0.405,0.085,0.3315,1,0,1,7
1993,0.465,0.125,0.541,1,0,1,8
1994,0.615,0.16,1.049,0,1,0,8
1995,0.205,0.055,0.042,1,0,1,4
1996,0.62,0.165,1.068,0,1,0,12
1997,0.585,0.145,0.981,0,0,0,13
1998,0.3,0.075,0.1495,1,0,1,7
1999,0.535,0.13,0.717,0,0,0,8
2000,0.18,0.055,0.0265,1,0,1,5
2001,0.675,0.18,1.4135,0,0,2,11
2002,0.46,0.12,0.4625,0,1,1,8
2003,0.425,0.1,0.378,1,0,1,7
2004,0.735,0.16,1.587,0,0,2,11
2005,0.49,0.12,0.5195,0,1,1,8
2006,0.35,0.09,0.17,1,0,1,5
2007,0.545,0.13,0.82,0,1,0,8
2008,0.615,0.15,1.0475,0,1,0,9
2009,0.51,0.12,0.599,1,0,0,10
2010,0.525,0.12,0.6765,1,0,0,8
2011,0.35,0.08,0.1855,1,0,1,5
2012,0.57,0.135,0.9215,0,1,0,9
2013,0.625,0.21,1.3825,0,0,2,11
2014,0.385,0.125,0.314,1,0,1,7
2015,0.63,0.185,1.2695,0,1,2,10
2016,0.61,0.165,1.217,0,1,2,10
2017,0.39,0.095,0.293,1,0,1,8
2018,0.535,0.13,0.74,0,1,0,8
2019,0.63,0.15,1.1005,0,0,0,9
2020,0.565,0.145,0.9,0,0,0,10
2021,0.385,0.105,0.301,1,0,1,7
2022,0.25,0.05,0.1125,1,0,1,6
2023,0.485,0.11,0.58,0,1,1,10
2024,0.645,0.225,1.539,0,1,2,10
2025,0.43,0.095,0.38,0,1,1,9
2026,0.68,0.205,1.792,0,0,2,11
2027,0.36,0.1,0.217,1,0,1,8
2028,0.255,0.05,0.0615,0,1,1,5
2029,0.71,0.175,1.7265,0,0,2,11
2030,0.585,0.165,0.9915,0,1,0,10
2031,0.62,0.155,1.1345,0,1,0,11
2032,0.275,0.065,0.099,1,0,1,5
2033,0.52,0.125,0.5385,0,1,1,8
2034,0.295,0.075,0.1165,1,0,1,5
2035,0.375,0.09,0.3295,1,0,1,8
2036,0.56,0.15,1.0225,0,1,0,9
2037,0.38,0.08,0.2315,1,0,1,7
2038,0.72,0.21,2.0065,0,0,2,11
2039,0.35,0.09,0.2355,1,0,1,6
2040,0.565,0.155,0.892,0,0,0,10
2041,0.65,0.17,1.3725,0,0,2,10
2042,0.655,0.2,1.7825,0,1,2,11
2043,0.635,0.19,1.2355,0,0,2,13
2044,0.535,0.155,0.728,1,0,0,10
2045,0.56,0.145,0.9875,0,1,0,9
2046,0.625,0.165,1.073,0,1,0,10
2047,0.62,0.15,1.107,0,0,0,11
2048,0.665,0.155,1.3685,0,0,2,13
2049,0.735,0.21,1.726,0,1,2,10
2050,0.355,0.1,0.2275,1,0,1,7
2051,0.51,0.12,0.573,1,0,1,8
2052,0.605,0.165,0.9605,0,0,0,12
2053,0.62,0.17,1.2135,0,0,2,10
2054,0.555,0.185,0.9525,0,0,0,20
2055,0.285,0.03,0.1015,1,0,1,5
2056,0.38,0.095,0.2245,1,0,1,7
2057,0.41,0.1,0.3245,1,0,1,7
2058,0.735,0.22,2.302,0,1,2,12
2059,0.595,0.145,1.0225,0,0,0,9
2060,0.515,0.14,0.5695,0,1,1,12
2061,0.5,0.14,0.6155,0,1,0,9
2062,0.72,0.165,1.5245,0,1,2,10
2063,0.335,0.095,0.2015,0,1,1,6
2064,0.2,0.055,0.0345,1,0,1,4
2065,0.63,0.175,1.0235,0,0,0,20
2066,0.515,0.115,0.6595,0,1,0,15
2067,0.595,0.145,0.976,1,0,0,11
2068,0.525,0.145,0.6965,1,0,0,8
2069,0.5,0.14,0.656,1,0,0,8
2070,0.53,0.12,0.7495,0,1,0,9
2071,0.585,0.16,1.0385,0,0,0,12
2072,0.585,0.155,0.9265,0,1,0,9
2073,0.58,0.15,0.7665,1,0,0,8
2074,0.675,0.185,1.4545,0,1,2,10
2075,0.385,0.085,0.1555,1,0,1,6
2076,0.35,0.095,0.22,1,0,1,7
2077,0.755,0.205,2.0065,0,0,2,11
2078,0.425,0.09,0.3555,1,0,1,8
2079,0.19,0.03,0.0315,1,0,1,4
2080,0.625,0.145,1.217,0,1,2,8
2081,0.5,0.145,0.6645,0,1,0,13
2082,0.185,0.055,0.028,1,0,1,3
2083,0.555,0.155,0.783,0,1,0,13
2084,0.405,0.095,0.2645,1,0,1,7
2085,0.56,0.165,1.187,1,0,0,11
2086,0.4,0.095,0.302,1,0,1,7
2087,0.415,0.1,0.352,1,0,1,8
2088,0.69,0.19,1.494,0,1,2,11
2089,0.33,0.07,0.147,1,0,1,5
2090,0.605,0.17,1.1075,0,0,0,9
2091,0.62,0.17,1.1255,0,1,0,8
2092,0.465,0.115,0.487,1,0,1,9
2093,0.57,0.15,0.8965,0,1,0,10
2094,0.465,0.105,0.4015,1,0,1,7
2095,0.585,0.135,0.9715,0,0,0,8
2096,0.44,0.1,0.397,0,1,1,12
2097,0.165,0.025,0.019,1,0,1,4
2098,0.65,0.17,1.2105,0,1,2,9
2099,0.585,0.185,0.9055,0,0,0,17
2100,0.66,0.185,1.46,0,1,2,11
2101,0.42,0.11,0.3065,1,0,1,6
2102,0.51,0.13,0.6015,0,1,0,9
2103,0.56,0.115,0.646,0,1,0,8
2104,0.45,0.12,0.4225,0,1,1,9
2105,0.535,0.16,0.976,0,1,0,17
2106,0.55,0.175,0.869,0,1,0,9
2107,0.46,0.115,0.4385,1,0,1,8
2108,0.57,0.145,0.981,0,0,0,10
2109,0.565,0.145,0.974,0,1,0,13
2110,0.655,0.195,1.5455,0,1,2,10
2111,0.565,0.16,0.9055,0,0,0,10
2112,0.37,0.11,0.2465,1,0,1,6
2113,0.355,0.095,0.2255,0,1,1,10
2114,0.645,0.17,1.2915,0,0,2,8
2115,0.5,0.14,0.6655,0,1,0,10
2116,0.57,0.125,0.832,0,1,0,18
2117,0.59,0.17,1.122,0,1,0,11
2118,0.575,0.16,1.041,0,1,0,10
2119,0.55,0.145,0.7355,0,0,0,13
2120,0.415,0.105,0.336,1,0,1,8
2121,0.645,0.19,1.3645,0,1,2,18
2122,0.46,0.1,0.4025,0,1,1,9
2123,0.28,0.08,0.093,1,0,1,4
2124,0.19,0.045,0.0265,1,0,1,5
2125,0.485,0.12,0.5775,0,1,1,7
2126,0.655,0.175,1.2905,0,0,2,9
2127,0.205,0.025,0.0545,1,0,1,4
2128,0.68,0.205,1.8165,0,0,2,12
2129,0.685,0.18,1.637,0,1,2,16
2130,0.59,0.15,1.1345,0,0,0,12
2131,0.515,0.12,0.5125,1,0,1,12
2132,0.45,0.115,0.4385,1,0,1,8
2133,0.61,0.165,1.494,0,1,2,10
2134,0.625,0.15,1.1835,0,0,0,9
2135,0.575,0.145,0.795,1,0,0,11
2136,0.655,0.175,1.4005,0,1,2,10
2137,0.31,0.075,0.1455,1,0,1,8
2138,0.55,0.125,0.7275,0,1,0,9
2139,0.3,0.08,0.106,1,0,1,6
2140,0.21,0.055,0.04,1,0,1,6
2141,0.62,0.155,1.1185,0,1,0,15
2142,0.45,0.12,0.381,0,1,1,9
2143,0.475,0.125,0.4615,1,0,1,8
2144,0.42,0.1,0.3415,1,0,1,7
2145,0.405,0.11,0.3335,0,1,1,7
2146,0.58,0.145,0.834,0,0,0,13
2147,0.66,0.2,1.5275,0,1,2,12
2148,0.65,0.175,1.2075,0,1,2,10
2149,0.315,0.085,0.1395,1,0,1,7
2150,0.475,0.12,0.529,0,1,1,8
2151,0.33,0.09,0.17,1,0,1,7
2152,0.335,0.085,0.18,1,0,1,6
2153,0.475,0.115,0.4955,0,1,1,10
2154,0.415,0.12,0.38,0,0,1,23
2155,0.375,0.095,0.237,1,0,1,6
2156,0.6,0.155,1.014,0,1,0,15
2157,0.395,0.095,0.2925,1,0,1,7
2158,0.63,0.15,1.1025,0,1,0,8
2159,0.18,0.045,0.0315,1,0,1,5
2160,0.595,0.145,1.0335,0,0,0,11
2161,0.6,0.18,1.1415,0,0,0,13
2162,0.375,0.085,0.198,1,0,1,6
2163,0.395,0.095,0.2915,1,0,1,8
2164,0.67,0.175,1.3815,0,1,2,11
2165,0.55,0.125,0.7605,1,0,0,8
2166,0.695,0.18,1.859,0,0,2,16
2167,0.545,0.155,0.955,0,1,0,23
2168,0.48,0.12,0.5805,1,0,1,8
2169,0.385,0.1,0.2745,1,0,1,7
2170,0.47,0.1,0.407,1,0,1,9
2171,0.34,0.09,0.1785,1,0,1,6
2172,0.63,0.19,1.4605,0,0,2,12
2173,0.535,0.12,0.6855,0,0,0,8
2174,0.45,0.115,0.447,0,1,1,10
2175,0.545,0.135,0.7365,1,0,0,8
2176,0.36,0.09,0.2465,0,0,1,7
2177,0.52,0.14,0.949,0,0,0,11
2178,0.205,0.065,0.0265,1,0,1,5
2179,0.475,0.125,0.5725,0,1,1,10
2180,0.595,0.16,1.1115,0,1,0,10
2181,0.645,0.19,1.2855,0,0,2,9
2182,0.595,0.165,1.098,0,1,0,12
2183,0.72,0.175,1.834,0,0,2,11
2184,0.455,0.115,0.498,0,1,1,10
2185,0.525,0.145,0.7545,0,0,0,12
2186,0.565,0.175,1.0935,0,1,0,15
2187,0.51,0.135,0.5815,1,0,1,12
2188,0.505,0.14,0.7365,0,0,0,10
2189,0.37,0.085,0.22,1,0,1,6
2190,0.425,0.095,0.335,1,0,1,7
2191,0.38,0.1,0.256,1,0,1,7
2192,0.58,0.145,0.795,0,0,0,12
2193,0.52,0.115,0.5985,1,0,0,8
2194,0.585,0.18,1.116,0,1,0,13
2195,0.58,0.135,0.7905,1,0,0,8
2196,0.455,0.125,0.4495,1,0,1,8
2197,0.545,0.155,0.7665,0,1,0,20
2198,0.575,0.175,1.065,0,1,0,8
2199,0.525,0.14,0.636,0,0,0,18
2200,0.5,0.125,0.529,1,0,1,8
2201,0.5,0.125,0.5605,1,0,1,10
2202,0.61,0.16,1.0515,0,0,0,14
2203,0.665,0.145,0.984,0,1,0,9
2204,0.57,0.15,0.8645,0,1,0,9
2205,0.545,0.135,0.7545,1,0,0,8
2206,0.695,0.215,1.566,0,1,2,17
2207,0.57,0.16,0.868,0,1,0,15
2208,0.44,0.11,0.4115,1,0,1,7
2209,0.56,0.135,0.8415,0,1,0,9
2210,0.565,0.145,0.8105,0,0,0,9
2211,0.385,0.08,0.2675,1,0,1,6
2212,0.71,0.195,1.6115,0,1,2,14
2213,0.4,0.105,0.3485,1,0,1,7
2214,0.715,0.2,1.8485,0,1,2,9
2215,0.445,0.12,0.3785,1,0,1,8
2216,0.555,0.135,0.699,1,0,0,10
2217,0.62,0.205,1.2765,0,0,2,11
2218,0.28,0.07,0.084,1,0,1,5
2219,0.565,0.11,0.879,0,1,0,9
2220,0.545,0.13,0.5885,0,1,0,9
2221,0.535,0.11,0.599,1,0,0,9
2222,0.71,0.165,0.95,0,0,0,9
2223,0.54,0.15,0.873,0,1,0,12
2224,0.435,0.115,0.4195,1,0,1,7
2225,0.5,0.14,0.836,0,1,0,9
2226,0.645,0.2,1.489,0,1,2,16
2227,0.515,0.12,0.6615,1,0,0,11
2228,0.555,0.135,0.7665,1,0,0,11
2229,0.565,0.17,1.2415,1,0,2,12
2230,0.68,0.19,1.79,0,1,2,11
2231,0.565,0.13,0.817,0,0,0,12
2232,0.655,0.18,1.272,0,1,2,10
2233,0.565,0.145,0.922,0,0,0,9
2234,0.63,0.18,1.3415,0,0,2,9
2235,0.635,0.16,1.1525,0,0,0,15
2236,0.35,0.085,0.1725,1,0,1,7
2237,0.445,0.11,0.4155,1,0,1,8
2238,0.465,0.105,0.436,1,0,1,7
2239,0.685,0.18,1.689,0,1,2,10
2240,0.61,0.155,1.3025,0,1,2,13
2241,0.305,0.075,0.1165,1,0,1,6
2242,0.465,0.125,0.6015,0,1,1,11
2243,0.57,0.155,0.9175,0,1,0,12
2244,0.545,0.14,0.7715,0,0,0,8
2245,0.36,0.095,0.2155,0,1,1,6
2246,0.62,0.165,1.181,0,0,0,11
2247,0.53,0.135,0.7665,1,0,0,14
2248,0.355,0.075,0.1905,1,0,1,6
2249,0.545,0.115,0.77,0,1,0,13
2250,0.6,0.18,1.194,0,1,0,18
2251,0.66,0.185,1.759,0,0,2,12
2252,0.53,0.12,0.686,0,1,0,10
2253,0.575,0.13,1.078,0,0,0,8
2254,0.3,0.065,0.096,1,0,1,5
2255,0.58,0.185,1.1385,0,1,0,10
2256,0.56,0.125,0.7575,0,1,0,10
2257,0.52,0.145,0.5795,1,0,1,8
2258,0.52,0.14,0.872,0,0,0,10
2259,0.465,0.13,0.4495,0,1,1,12
2260,0.525,0.14,0.769,0,1,0,9
2261,0.72,0.18,1.74,0,0,2,10
2262,0.59,0.135,0.907,0,0,0,8
2263,0.515,0.135,0.712,0,0,0,15
2264,0.725,0.185,1.6675,0,0,2,11
2265,0.565,0.145,0.8155,0,0,0,9
2266,0.33,0.09,0.163,0,1,1,7
2267,0.525,0.135,0.7575,0,1,0,8
2268,0.51,0.125,0.742,0,0,0,10
2269,0.3,0.075,0.1655,0,1,1,7
2270,0.61,0.155,1.059,0,0,0,9
2271,0.62,0.165,1.286,0,1,2,9
2272,0.56,0.155,0.867,0,1,0,10
2273,0.59,0.14,0.97,0,0,0,9
2274,0.7,0.18,1.523,0,0,2,10
2275,0.53,0.13,0.7665,1,0,0,8
2276,0.49,0.13,0.583,0,1,1,8
2277,0.54,0.135,0.7955,0,0,0,9
2278,0.575,0.145,0.7955,0,0,0,11
2279,0.36,0.095,0.1875,1,0,1,8
2280,0.555,0.13,0.7495,0,0,0,14
2281,0.595,0.165,1.1465,0,1,0,10
2282,0.475,0.105,0.4475,1,0,1,7
2283,0.58,0.15,0.827,0,0,0,10
2284,0.57,0.15,1.012,0,1,0,11
2285,0.155,0.025,0.024,0,1,1,3
2286,0.59,0.15,1.056,0,0,0,12
2287,0.55,0.14,0.8945,1,0,0,8
2288,0.43,0.09,0.393,1,0,1,6
2289,0.675,0.215,1.6755,0,0,2,23
2290,0.58,0.15,0.9125,0,1,0,8
2291,0.575,0.175,1.079,0,1,0,10
2292,0.525,0.145,0.768,0,1,0,10
2293,0.61,0.16,1.0265,0,0,0,11
2294,0.375,0.1,0.228,1,0,1,7
2295,0.6,0.175,1.14,0,0,0,10
2296,0.61,0.14,1.103,0,1,0,10
2297,0.575,0.14,0.869,0,1,0,8
2298,0.675,0.175,1.689,0,0,2,15
2299,0.44,0.11,0.3675,1,0,1,7
2300,0.59,0.14,0.858,0,1,0,10
2301,0.54,0.135,0.929,0,1,0,8
2302,0.515,0.135,0.659,0,1,0,8
2303,0.585,0.13,0.8045,0,0,0,13
2304,0.665,0.155,1.3405,0,1,2,11
2305,0.475,0.11,0.4935,0,0,1,8
2306,0.645,0.2,1.494,0,0,2,22
2307,0.53,0.16,0.7605,0,0,0,11
2308,0.325,0.08,0.1965,1,0,1,7
2309,0.245,0.06,0.0655,1,0,1,5
2310,0.32,0.085,0.17,1,0,1,7
2311,0.545,0.145,0.6765,0,0,0,13
2312,0.54,0.125,0.8275,0,1,0,13
2313,0.5,0.115,0.5095,1,0,1,8
2314,0.675,0.175,1.583,0,1,2,10
2315,0.61,0.15,0.9665,0,0,0,9
2316,0.565,0.145,0.874,0,0,0,12
2317,0.37,0.085,0.1785,1,0,1,8
2318,0.25,0.03,0.0565,1,0,1,5
2319,0.345,0.095,0.1945,1,0,1,7
2320,0.61,0.16,1.0375,0,0,0,9
2321,0.705,0.175,1.541,0,1,2,14
2322,0.575,0.16,0.895,0,1,0,9
2323,0.59,0.155,1.027,1,0,0,17
2324,0.6,0.165,0.9065,0,1,0,10
2325,0.5,0.13,0.5775,0,1,1,8
2326,0.6,0.16,1.2495,0,1,2,10
2327,0.565,0.135,0.8775,0,0,0,9
2328,0.63,0.17,1.1685,0,0,0,9
2329,0.505,0.14,0.6125,0,0,0,11
2330,0.555,0.185,1.016,0,0,0,10
2331,0.585,0.17,0.945,0,0,0,13
2332,0.55,0.145,0.8295,0,1,0,9
2333,0.68,0.195,1.6115,0,1,2,11
2334,0.615,0.16,1.0255,0,1,0,9
2335,0.745,0.215,2.25,0,1,2,12
2336,0.55,0.16,0.7405,0,1,0,17
2337,0.275,0.065,0.082,1,0,1,6
2338,0.575,0.145,0.9685,1,0,0,9
2339,0.63,0.15,1.1605,0,1,0,8
2340,0.35,0.095,0.2485,1,0,1,6
2341,0.545,0.135,0.7715,1,0,0,8
2342,0.545,0.125,0.744,0,1,0,10
2343,0.605,0.195,1.1435,0,0,0,10
2344,0.52,0.15,0.8205,0,0,0,11
2345,0.485,0.1,0.4025,1,0,1,7
2346,0.475,0.11,0.4425,1,0,1,8
2347,0.71,0.175,1.764,0,1,2,10
2348,0.585,0.15,1.1345,0,1,0,8
2349,0.66,0.185,1.842,0,0,2,10
2350,0.525,0.14,0.578,1,0,1,9
2351,0.685,0.165,1.664,0,0,2,11
2352,0.475,0.145,0.482,0,0,1,10
2353,0.58,0.19,1.165,0,0,0,17
2354,0.48,0.115,0.516,0,0,1,18
2355,0.65,0.165,1.6715,0,1,2,10
2356,0.505,0.155,0.7325,0,0,0,13
2357,0.6,0.16,1.1355,0,1,0,10
2358,0.655,0.195,1.388,0,1,2,14
2359,0.625,0.16,1.208,0,1,2,15
2360,0.38,0.1,0.3105,0,1,1,8
2361,0.545,0.145,0.8295,0,1,0,13
2362,0.5,0.12,0.578,1,0,1,9
2363,0.55,0.14,0.5385,1,0,1,8
2364,0.475,0.11,0.6125,1,0,0,10
2365,0.4,0.09,0.303,1,0,1,7
2366,0.555,0.175,0.738,0,1,0,12
2367,0.435,0.11,0.4385,0,1,1,8
2368,0.55,0.16,0.8265,0,1,0,9
2369,0.31,0.075,0.1285,1,0,1,5
2370,0.55,0.145,0.7915,1,0,0,15
2371,0.47,0.115,0.4215,1,0,1,8
2372,0.66,0.2,1.4265,0,1,2,16
2373,0.625,0.145,1.3305,0,1,2,10
2374,0.685,0.19,1.5535,0,1,2,10
2375,0.515,0.12,0.6355,0,0,0,8
2376,0.58,0.185,0.974,1,0,0,20
2377,0.525,0.135,0.872,1,0,0,17
2378,0.515,0.13,0.7665,0,1,0,8
2379,0.515,0.135,0.6965,0,0,0,8
2380,0.38,0.09,0.2165,1,0,1,7
2381,0.525,0.125,0.6355,0,0,0,8
2382,0.415,0.095,0.3455,1,0,1,6
2383,0.675,0.175,1.4335,0,0,2,10
2384,0.57,0.145,0.926,0,1,0,12
2385,0.57,0.14,0.9685,0,1,0,12
2386,0.36,0.09,0.199,1,0,1,8
2387,0.44,0.11,0.4585,1,0,1,8
2388,0.575,0.155,0.874,0,1,0,9
2389,0.615,0.17,1.0565,0,0,0,11
2390,0.6,0.19,1.523,0,0,2,16
2391,0.16,0.055,0.0385,1,0,1,4
2392,0.55,0.125,0.7125,0,0,0,8
2393,0.275,0.065,0.08,1,0,1,5
2394,0.495,0.14,0.6185,1,0,0,8
2395,0.545,0.145,0.751,0,1,0,10
2396,0.595,0.15,1.0385,0,1,0,9
2397,0.475,0.1,0.4155,1,0,1,9
2398,0.505,0.13,0.6765,0,0,0,10
2399,0.605,0.14,1.1175,0,1,0,11
2400,0.37,0.095,0.198,1,0,1,6
2401,0.545,0.145,0.7155,0,1,0,11
2402,0.685,0.175,1.6185,0,1,2,11
2403,0.535,0.135,0.7105,1,0,0,12
2404,0.575,0.15,0.957,0,0,0,17
2405,0.36,0.08,0.2885,0,1,1,7
2406,0.515,0.135,0.6425,0,1,0,11
2407,0.645,0.18,1.489,0,1,2,13
2408,0.55,0.16,0.869,0,0,0,11
2409,0.52,0.125,0.5775,1,0,1,9
2410,0.385,0.085,0.2685,1,0,1,8
2411,0.395,0.095,0.286,1,0,1,10
2412,0.285,0.06,0.1165,1,0,1,5
2413,0.595,0.19,1.3155,1,0,2,13
2414,0.585,0.145,0.9335,0,0,0,8
2415,0.565,0.13,0.879,0,1,0,17
2416,0.595,0.145,0.974,1,0,0,10
2417,0.515,0.12,0.6935,1,0,0,8
2418,0.46,0.105,0.5225,0,1,1,9
2419,0.635,0.16,1.1515,0,1,0,9
2420,0.58,0.15,1.1165,0,1,0,9
2421,0.37,0.085,0.213,1,0,1,6
2422,0.57,0.155,0.975,0,1,0,9
2423,0.71,0.215,1.9125,0,1,2,11
2424,0.555,0.125,0.707,1,0,0,11
2425,0.615,0.15,1.073,0,1,0,10
2426,0.53,0.14,0.6975,1,0,0,9
2427,0.39,0.11,0.2815,1,0,1,7
2428,0.56,0.17,1.1835,0,1,0,15
2429,0.55,0.155,0.906,0,1,0,13
2430,0.56,0.165,0.9285,0,1,0,11
2431,0.335,0.09,0.1765,1,0,1,6
2432,0.525,0.135,0.6235,1,0,0,9
2433,0.5,0.125,0.5325,1,0,1,9
2434,0.275,0.07,0.096,1,0,1,6
2435,0.6,0.165,1.3745,0,1,2,11
2436,0.525,0.14,0.664,1,0,0,7
2437,0.59,0.155,0.849,0,1,0,9
2438,0.605,0.155,1.053,0,1,0,14
2439,0.495,0.12,0.5915,1,0,1,8
2440,0.38,0.085,0.2655,0,0,1,7
2441,0.61,0.16,1.1785,0,1,0,9
2442,0.57,0.13,0.833,1,0,0,8
2443,0.655,0.195,1.3665,0,0,2,9
2444,0.63,0.15,1.1315,0,0,0,10
2445,0.255,0.065,0.0925,1,0,1,6
2446,0.55,0.135,0.751,1,0,0,7
2447,0.515,0.105,0.6185,1,0,0,7
2448,0.595,0.155,1.036,0,0,0,11
2449,0.355,0.1,0.2345,1,0,1,7
2450,0.56,0.145,0.961,0,1,0,10
2451,0.4,0.105,0.3245,1,0,1,8
2452,0.605,0.185,1.098,0,0,0,8
2453,0.65,0.18,1.764,0,0,2,16
2454,0.4,0.1,0.304,1,0,1,7
2455,0.43,0.095,0.3505,1,0,1,7
2456,0.595,0.135,1.151,0,0,0,11
2457,0.52,0.14,0.5765,0,1,1,12
2458,0.57,0.155,1.0105,0,1,0,11
2459,0.615,0.16,1.151,0,1,0,10
2460,0.565,0.155,0.9035,0,0,0,9
2461,0.63,0.18,1.4135,0,1,2,11
2462,0.51,0.145,0.765,1,0,0,9
2463,0.275,0.06,0.0935,1,0,1,6
2464,0.695,0.215,1.8795,0,1,2,13
2465,0.655,0.205,1.3935,0,0,2,16
2466,0.635,0.17,1.37,0,1,2,9
2467,0.4,0.09,0.3265,1,0,1,8
2468,0.53,0.145,0.907,0,1,0,11
2469,0.29,0.08,0.106,1,0,1,5
2470,0.595,0.165,0.98,0,1,0,12
2471,0.625,0.175,1.013,0,1,0,11
2472,0.61,0.155,1.2525,0,0,2,9
2473,0.59,0.175,0.991,0,0,0,10
2474,0.615,0.16,1.1215,0,1,0,9
2475,0.49,0.12,0.5915,1,0,1,8
2476,0.575,0.13,0.955,0,1,0,11
2477,0.25,0.06,0.0715,1,0,1,6
2478,0.47,0.11,0.5055,1,0,1,7
2479,0.585,0.165,0.955,0,1,0,13
2480,0.55,0.14,0.874,0,0,0,13
2481,0.585,0.155,1.0735,0,0,0,11
2482,0.425,0.095,0.317,0,0,1,7
2483,0.68,0.18,1.539,0,0,2,9
2484,0.455,0.12,0.5785,1,0,1,8
2485,0.58,0.135,0.837,0,1,0,9
2486,0.495,0.155,0.6155,0,0,0,12
2487,0.535,0.145,0.7245,1,0,0,14
2488,0.505,0.125,0.5805,0,1,1,12
2489,0.32,0.07,0.1145,0,1,1,5
2490,0.565,0.135,0.842,0,0,0,9
2491,0.655,0.205,1.7185,0,1,2,13
2492,0.335,0.095,0.1925,1,0,1,7
2493,0.475,0.115,0.5195,1,0,1,8
2494,0.48,0.135,0.6425,0,1,0,15
2495,0.655,0.175,1.445,0,0,2,12
2496,0.56,0.145,0.7775,0,0,0,8
2497,0.44,0.12,0.4215,0,1,1,7
2498,0.52,0.11,0.567,1,0,1,7
2499,0.565,0.155,1.0075,0,0,0,9
2500,0.7,0.2,1.7255,0,1,2,20
2501,0.65,0.195,1.7835,0,0,2,10
2502,0.545,0.15,0.6855,0,1,0,9
2503,0.6,0.15,0.869,0,1,0,9
2504,0.645,0.145,1.007,0,0,0,11
2505,0.545,0.145,0.868,0,1,0,9
2506,0.415,0.09,0.3075,1,0,1,10
2507,0.595,0.155,1.103,0,0,0,9
2508,0.625,0.16,1.1685,0,1,0,11
2509,0.54,0.145,0.8705,0,1,0,15
2510,0.255,0.055,0.0875,1,0,1,5
2511,0.595,0.165,0.9565,1,0,0,11
2512,0.36,0.09,0.2515,1,0,1,7
2513,0.625,0.18,1.2385,0,1,2,9
2514,0.695,0.2,1.5515,0,1,2,14
2515,0.35,0.075,0.19,1,0,1,6
2516,0.36,0.1,0.2175,1,0,1,6
2517,0.58,0.155,1.053,0,0,0,10
2518,0.585,0.14,0.8575,1,0,0,9
2519,0.5,0.115,0.559,1,0,1,8
2520,0.525,0.13,0.6935,0,0,0,8
2521,0.24,0.065,0.0615,1,0,1,4
2522,0.385,0.095,0.2675,1,0,1,7
2523,0.545,0.125,0.867,0,1,0,15
2524,0.605,0.175,1.161,0,1,0,13
2525,0.505,0.125,0.5655,1,0,1,9
2526,0.665,0.175,1.596,0,0,2,21
2527,0.62,0.165,1.1255,1,0,0,10
2528,0.545,0.135,0.8155,1,0,0,9
2529,0.36,0.08,0.1785,1,0,1,12
2530,0.605,0.225,1.1325,0,0,0,12
2531,0.185,0.04,0.0255,1,0,1,7
2532,0.63,0.16,1.2695,0,1,2,8
2533,0.445,0.12,0.4475,0,0,1,10
2534,0.57,0.175,1.2435,0,0,2,14
2535,0.265,0.06,0.049,1,0,1,4
2536,0.645,0.195,1.5455,0,0,2,19
2537,0.5,0.13,0.5045,1,0,1,9
2538,0.48,0.11,0.4725,1,0,1,8
2539,0.13,0.045,0.024,1,0,1,4
2540,0.585,0.145,0.9235,0,0,0,10
2541,0.44,0.105,0.402,1,0,1,7
2542,0.665,0.145,1.1635,0,0,0,10
2543,0.435,0.11,0.3675,1,0,1,8
2544,0.695,0.195,1.4865,0,0,2,10
2545,0.44,0.135,0.4005,1,0,1,14
2546,0.56,0.145,0.8085,1,0,0,10
2547,0.635,0.175,1.3745,0,1,2,11
2548,0.395,0.095,0.2645,1,0,1,7
2549,0.435,0.1,0.3005,1,0,1,8
2550,0.56,0.14,0.832,1,0,0,13
2551,0.485,0.105,0.5205,1,0,1,8
2552,0.355,0.09,0.3245,1,0,1,7
2553,0.64,0.165,1.406,0,1,2,10
2554,0.335,0.08,0.181,1,0,1,5
2555,0.53,0.13,0.764,0,0,0,8
2556,0.315,0.07,0.1255,1,0,1,5
2557,0.515,0.12,0.5525,0,1,1,8
2558,0.645,0.19,1.3555,0,1,2,12
